id,url,alt_text,caption,width,height,resizer_url,subtitle,updated_at
1,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/VZ5AGEYUFZORPE2D45SLPM6GUM.jpg,Illustration shows Fifth Third Bank logo,"Fifth Third Bank logo is seen in this illustration taken, April 23, 2024. REUTERS/Dado Ruvic/Illustration",3000,2009,https://www.reuters.com/resizer/v2/VZ5AGEYUFZORPE2D45SLPM6GUM.jpg?auth=89191ed8096526a538eda586fbe34202741713849b21b5b4b179e416b48f5388,Illustration shows Fifth Third Bank logo,2025-10-07 12:23:57+00
2,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/W33LJ52AIVMLFDEHIGTE7BJUYY.jpg,Illustration shows representation of Tether coin cryptocurrency,"Representation of Tether coin cryptocurrency is seen in this illustration taken September 10, 2025. REUTERS/Dado Ruvic/Illustration",3500,2333,https://www.reuters.com/resizer/v2/W33LJ52AIVMLFDEHIGTE7BJUYY.jpg?auth=6342e096105b47b9528d60d78204c1c31b842f23530eb7e987e52f3302b05bcb,Illustration shows representation of Tether coin cryptocurrency,2025-10-06 17:02:49+00
3,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/X6XJARXB3NL7DHPQMC76U5LXKU.jpg,"UnitedHealth Group's headquarters building is seen in Minnetonka, Minnesota","UnitedHealth Group's headquarters building is seen in Minnetonka, Minnesota, U.S. in this handout picture taken in 2019. UnitedHealth Group/Handout via REUTERS",2100,1400,https://www.reuters.com/resizer/v2/X6XJARXB3NL7DHPQMC76U5LXKU.jpg?auth=bdc0db34681be4e4c8027699c94e3227ae7bdf6b32c87821ac72c9dd8ee546c4,"UnitedHealth Group's headquarters building is seen in Minnetonka, Minnesota",2025-10-03 20:37:22+00
4,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/AIYNUEYUORKGNFF66ZIK64GQXA.jpg,A UBS logo is pictured on the branch of the Swiss bank in Lucerne,"A UBS logo is pictured on the branch of the Swiss bank in Lucerne, Switzerland, June 14, 2024.  REUTERS/Denis Balibouse/File Photo",5352,3646,https://www.reuters.com/resizer/v2/AIYNUEYUORKGNFF66ZIK64GQXA.jpg?auth=ba72f6d52bfb7540ae29b6b3a2b69eff73e1ebace095f995c948085f86b96538,A UBS logo is pictured on the branch of the Swiss bank in Lucerne,2025-10-03 06:56:00+00
5,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/W6BKPL3FBZLSBAXRFZHOV7ZKB4.jpg,"A U.S. flag stands next to the AstraZeneca logo in Washington, D.C.","A U.S. flag stands next to the AstraZeneca logo during a signing event for documents related to a manufacturing site investment at the Meridian International Center in Washington, D.C., July 21, 2025. REUTERS/Umit Bektas/File Photo",6500,4333,https://www.reuters.com/resizer/v2/W6BKPL3FBZLSBAXRFZHOV7ZKB4.jpg?auth=877b503b934d444ec64966fbf8e9228f760a53d2617c9b8918c6bd227508cdb7,"A U.S. flag stands next to the AstraZeneca logo in Washington, D.C.",2025-09-30 16:09:16+00
6,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/466BJJQ7PVGY5O53NZ3KL65MHM.png,Reuters logo,,1024,740,https://www.reuters.com/resizer/v2/466BJJQ7PVGY5O53NZ3KL65MHM.png?auth=b9c3bf166c40a6778eb5672993fde7c30a15f48329026674eff92afd8da1d0ca,TOPIC:DEFAULT_TOPIC_THUMBNAIL,2024-06-12 16:56:46+00
7,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/FWHOBZSWABMEPOWNVHRIL54CIQ.jpg,"Logo da BP, em Londres","Logo da BP, em Londres
02/11/2010
REUTERS/Suzanne Plunkett",3499,2393,https://www.reuters.com/resizer/v2/FWHOBZSWABMEPOWNVHRIL54CIQ.jpg?auth=58088392beef2a8bbc7c65f4d82a087db5fb69490ae0d3504acc377f7105a837,"Logo da BP, em Londres",2025-10-01 20:26:56+00
8,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/KVV6VCF7JNKMZJQKZAPMIGJITQ.jpg,Traders work on the floor of the NYSE in New York,"Traders work on the floor at the New York Stock Exchange (NYSE) in New York City, U.S., September 17, 2025.  REUTERS/Brendan McDermid",5280,3520,https://www.reuters.com/resizer/v2/KVV6VCF7JNKMZJQKZAPMIGJITQ.jpg?auth=989e06aa5ce6139d6a1486e60157e60db723e5340592129af3ef11509ebc75bb,Traders work on the floor of the NYSE in New York,2025-10-01 17:18:59+00
9,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/KAO7KTKTJJOX5DH2VSFSOTPSMU.jpg,A BP logo is seen on a petrol station in London,"A BP logo is seen on a petrol station in London November 2, 2010.  REUTERS/Suzanne Plunkett/File Photo",3499,2393,https://www.reuters.com/resizer/v2/KAO7KTKTJJOX5DH2VSFSOTPSMU.jpg?auth=15ac12bdaf6b4d4fa74c07c224b5b523332d6d46aa94ea5e8ae3b310a9f1daf1,A BP logo is seen on a petrol station in London,2025-10-01 15:51:41+00
10,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/IWI74XGSXVM5FMFMLC4NUSHAZM.jpg,Logo of Casino in Sainte-Hermine,"A logo of French retailer Casino is pictured outside a Casino supermarket in Sainte-Hermine, France, December 4, 2023. REUTERS/Stephane Mahe",5623,3711,https://www.reuters.com/resizer/v2/IWI74XGSXVM5FMFMLC4NUSHAZM.jpg?auth=7221174c5ffdd4749724291a7b532b3656d472a7126ef88dea965afbd86dd0e6,Logo of Casino in Sainte-Hermine,2025-10-01 11:07:40+00
11,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/Q26VLFEZPFKDDKXTG6RJB4VETA.jpg,Logo of Casino in Sainte-Hermine,"A logo of French retailer Casino is pictured outside a Casino supermarket in Sainte-Hermine, France, December 4, 2023. REUTERS/Stephane Mahe",5623,3711,https://www.reuters.com/resizer/v2/Q26VLFEZPFKDDKXTG6RJB4VETA.jpg?auth=8abfe99c882eaefad56b571ff7324f88ec729b97cde025f90a22765b8c12907c,Logo of Casino in Sainte-Hermine,2025-10-01 10:19:08+00
12,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/NBWWGCQIZRI4TLP5WRYB4DGO7A.jpg,"FOTO DE ARCHIVO: Cartel en el banco BBVA alude a una OPA sobre su rival Sabadell, en Bilbao, España","FOTO DE ARCHIVO: Un hombre pasa junto a una sucursal del banco BBVA, con un cartel que hace referencia a la oferta pública de adquisición del banco español por su rival más pequeño, Sabadell, en Bilbao, España, el 24 de marzo de 2025. REUTERS/Vincent West",800,533,https://www.reuters.com/resizer/v2/NBWWGCQIZRI4TLP5WRYB4DGO7A.jpg?auth=dcb1a359119e3d2eefc436ab835eb3cb237814c8007176bb87a3e511a2eafcb4,"FOTO DE ARCHIVO: Cartel en el banco BBVA alude a una OPA sobre su rival Sabadell, en Bilbao, España",2025-10-01 06:15:29+00
13,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/B4J56N3A7VIV7M5GXDH4UCNNVI.jpg,Illustration photo of Australian dollars,"Australian dollars are seen in an illustration photo February 8, 2018. REUTERS/Daniel Munoz/File Photo",4965,3063,https://www.reuters.com/resizer/v2/B4J56N3A7VIV7M5GXDH4UCNNVI.jpg?auth=73f1e86d371d80ef61333dca9567fc7bfe741f6085ab9bbb36b11a588648c0f5,Illustration photo of Australian dollars,2025-09-30 20:26:11+00
14,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/PX6IF46CONJ5NAGFRKFTZ4J2NM.jpg,Poster in BBVA bank refers to takeover bid for rival Sabadell,"A man walks past a branch of the BBVA bank, with a poster referring to the Spanish lender's takeover bid for smaller rival Sabadell, in Bilbao, Spain, March 24, 2025. REUTERS/Vincent West",6000,4000,https://www.reuters.com/resizer/v2/PX6IF46CONJ5NAGFRKFTZ4J2NM.jpg?auth=7b3f29574d77eac277b8051039316aac4fa81bcdb847e95107a86e0f01e93d5a,Poster in BBVA bank refers to takeover bid for rival Sabadell,2025-09-30 16:34:50+00
15,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/VBTD6WDDL5II3C6OTZLQLCRYOI.jpg,Le logo d'UBS est photographié sur la succursale de la banque suisse à Lucerne,"Le logo d'UBS est photographié sur la succursale de la banque suisse à Lucerne, Suisse. /Photo prise le 14 juin 2024/REUTERS/Denis Balibouse/Photo d""archives",5379,3437,https://www.reuters.com/resizer/v2/VBTD6WDDL5II3C6OTZLQLCRYOI.jpg?auth=1f04b8dfae6392dd77adb8dbe783ea09c7b178899b8ed69b0a62d1373460b6eb,Le logo d'UBS est photographié sur la succursale de la banque suisse à Lucerne,2025-09-30 07:15:07+00
16,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/XWP7M6WMFVN53MDD5XXYRXMMKA.jpg,"GlaxoSmithKline CEO, Emma Walmsley, arrives for a meeting in Downing Street in central London","GlaxoSmithKline (GSK) CEO, Emma Walmsley, arrives for a meeting in Downing Street in central London, Britain, October 9, 2017. Picture taken October 9, 2017.    REUTERS/Toby Melville/File Photo",2500,1855,https://www.reuters.com/resizer/v2/XWP7M6WMFVN53MDD5XXYRXMMKA.jpg?auth=f2c8a8a7bfc5f9b2073aeac43fef73e98c3524a0b0c41b22833b2ce21f010998,"GlaxoSmithKline CEO, Emma Walmsley, arrives for a meeting in Downing Street in central London",2025-09-29 14:32:53+00
17,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/IRQ7YVRECZN37E7SFIY2XWXPYQ.jpg,A boardroom is seen at the legal offices of the law firm Polsinelli in New York City,"A boardroom is seen at the offices in New York City, New York, U.S., June 3, 2021. REUTERS/Andrew Kelly/File Photo",6201,4134,https://www.reuters.com/resizer/v2/IRQ7YVRECZN37E7SFIY2XWXPYQ.jpg?auth=8d615e03af68b2e70db5cd44140c6f6ea1bc3ac6c1b8ddffb2c31dbbbffcc014,A boardroom is seen at the legal offices of the law firm Polsinelli in New York City,2025-09-29 16:57:36+00
18,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/AJ5RIHNTLVMG5KCTVW32EKS4S4.jpg,A CSX freight train travels in Washington,"A CSX freight train travels in Washington, U.S., December 14, 2024. REUTERS/Benoit Tessier",6000,4000,https://www.reuters.com/resizer/v2/AJ5RIHNTLVMG5KCTVW32EKS4S4.jpg?auth=f7b3958ee22fb002c55076b70d1aca49252452f5a380adc8c0dfdff2531b7a42,A CSX freight train travels in Washington,2025-09-29 13:56:31+00
19,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/PCUW5LMMCJLJHD7ZEQTQR66SS4.jpg,A man uses a calculator near a computer screen showing stock information in this illustration photo taken in Bordeaux,"A man uses a calculator near a computer screen showing stock information in this illustration photo taken in Bordeaux, France, March 30, 2016. REUTERS/Regis Duvignau/File Photo",4000,2649,https://www.reuters.com/resizer/v2/PCUW5LMMCJLJHD7ZEQTQR66SS4.jpg?auth=cb5795a63f9ba18751ff5fac3339b9929e0580c4c3a27efae9d8d32d7701fc17,A man uses a calculator near a computer screen showing stock information in this illustration photo taken in Bordeaux,2025-09-29 15:21:23+00
20,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/KWBQFX23IVIMPNFJLLJJ7IYONQ.jpg,"The logo of Banco Bilbao Vizcaya Argentaria is seen on the facade of the bank’s headquarters in Madrid, Spain","The logo of Banco Bilbao Vizcaya Argentaria is seen on the facade of the bank’s headquarters in Madrid, Spain, May 16, 2025. REUTERS/Ana Beltran/File Photo",5931,3954,https://www.reuters.com/resizer/v2/KWBQFX23IVIMPNFJLLJJ7IYONQ.jpg?auth=80e9c01acef6e341ecef2d4c14046a6f6f34fdf2fac8f6794a0804d8c31a453d,"The logo of Banco Bilbao Vizcaya Argentaria is seen on the facade of the bank’s headquarters in Madrid, Spain",2025-09-25 16:08:57+00
21,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/NGR4LDA5DZIDXLNRAOQWLRKJWY.jpg,"FOTO DE ARCHIVO: El logotipo de BP en una gasolinera en Manhattan, Nueva York","FOTO DE ARCHIVO: El logotipo de BP se ve en una gasolinera en Manhattan, Nueva York, EEUU, el 24 de noviembre de 2021. REUTERS/Andrew Kelly/Foto de archivo",6938,4628,https://www.reuters.com/resizer/v2/NGR4LDA5DZIDXLNRAOQWLRKJWY.jpg?auth=7dfbb98d609360f104d6ca55e46ba07b3a98c593e7a065ceba5f54e109af94b4,"FOTO DE ARCHIVO: El logotipo de BP en una gasolinera en Manhattan, Nueva York",2025-09-25 15:49:39+00
22,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/IJNAIYZQMNM53C45CPRD7FHUFA.jpg,Le logo de British Petrol BP,"Le logo de British Petrol BP est visible dans une station-service à Pienkow, Pologne. /Photo prise le 8 juin 2022/REUTERS/Kacper Pempel",3000,2000,https://www.reuters.com/resizer/v2/IJNAIYZQMNM53C45CPRD7FHUFA.jpg?auth=e573d7f86b087fbff1362d32bb0e72875e7101487b210e545a022728ec018919,Le logo de British Petrol BP,2025-09-25 13:53:20+00
23,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/ALXQBWZFDRJLPHZCSOKME36ZPQ.jpg,"The BP logo is seen at a BP gas station in Manhattan, New York City","The BP logo is seen at a BP gas station in Manhattan, New York City, U.S., November 24, 2021. REUTERS/Andrew Kelly/File Photo",6938,4628,https://www.reuters.com/resizer/v2/ALXQBWZFDRJLPHZCSOKME36ZPQ.jpg?auth=a405fad969d0a36454606006f843f4165aa12e8a2ce902f930cfa0ab71ebe420,"The BP logo is seen at a BP gas station in Manhattan, New York City",2025-09-25 12:01:40+00
24,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/EEE3V3JM55NUBIZJ6R7WYWNKMM.jpg,"Logotipo da BP é visto em um posto de gasolina da BP em Manhattan, cidade de Nova York, EUA","Logotipo da BP é visto em um posto de gasolina da BP em Manhattan, cidade de Nova York, EUA
24/11/2021
REUTERS/Andrew Kelly",6938,4628,https://www.reuters.com/resizer/v2/EEE3V3JM55NUBIZJ6R7WYWNKMM.jpg?auth=597981baca59e924772e72290fcf1a72b91a2a183daa9f2ad57b614f900feaa8,"Logotipo da BP é visto em um posto de gasolina da BP em Manhattan, cidade de Nova York, EUA",2025-09-25 13:19:49+00
